,ekonomi,magazin,sağlık,spor,ortalama
Precision,0.9125,0.9710144927536232,0.9259259259259259,0.8666666666666667,0.919026771336554
Recall,0.9125,0.8375,0.9375,0.975,0.915625
F-Score,0.9125,0.8993288590604026,0.9316770186335404,0.9176470588235294,0.9173227319231338
